First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Victor,Mature,82597283,CS,doing stand-up,campaigning for social causes,performing Web searches,hosting a late night chat show,singing pop songs,ranting about liberals,singing pop songs,directing movies,doing stand-up,writing serialized stories
Andre,Michelin,87169407,DS,evading mercenaries,interpreting evidence,wielding political power,analyzing the sub-conscious,inventing electrical marvels,drinking White Russians,moaning about men,pinching pennies,studying science,developing advertising campaigns
Wes,Studi,83290087,DS,eluding FBI profilers,solving crimes,studying science,studying science,devising evil schemes,preaching tolerance,chasing a great white whale,evading mercenaries,running a clandestine spy organization,burying dead hamsters
Gene,Paul,28913517,CS,plotting mutinies,doing stand-up,writing modern fiction,doing raunchy stage acts,running a propaganda machine,singing torch songs,doing stand-up,offering advice,singing pop songs,running an empire
Fedor,Emelianenko,28969582,DS,promoting science,evading mercenaries,running a business empire,squandering money,commanding a pirate ship,analyzing the sub-conscious,eating dinosaur ribs,moaning about men,writing comedy,foiling the schemes of evil villains
Keith,Richards,90539041,CS,writing cook books,signing sports memorabilia,climbing social ladders,performing household chores,singing pop songs,giving investment advice,pioneering new technologies,building giant walls,getting plastic surgery,singing torch songs
John,Grisham,16228467,CS,giving investment advice,racing fast cars,assassinating presidents,starring in Hollywood movies,singing pop songs,writing poetry,singing country music,singing pop songs,writing cook books,spreading revolution
Lizzie,Borden,71859004,DS,flipping hamburgers,seducing women,nurturing sibling rivalry,burying dead hamsters,evading mercenaries,pinching pennies,defending the weak,manipulating ingenues,talking in riddles,introducing cartoons
John,Brown,74108716,DS,interpreting evidence,inventing electrical marvels,going senile,devising evil schemes,spying on girls,flipping hamburgers,seducing women,running a business empire,defending the weak,studying science
Jon,Gosselin,37501595,DS,preventing crime,introducing cartoons,studying science,working for the forces of darkness,posing as a street thug,avenging loved ones,drinking White Russians,foiling the schemes of evil villains,hunting rabbits,flipping hamburgers
Kelsey,Grammer,37321897,CS,writing about manly pursuits,singing pop songs,wielding political power,doing stand-up,singing pop songs,singing melancholy songs,promoting pacifism,planting evidence,singing pop songs,starring in kung-fu movies
Dwyane,Wade,95264463,CS,making lewd remarks,promoting Objectivism,singing pop songs,writing poetry,doing raunchy stage acts,writing poetry,dressing up in cosplay costumes,starring in comedies,singing pop songs,running a propaganda machine
