Clyde,Barrow,30135434,DS,foiling the schemes of evil villains,solving crimes,running a kingdom,starting thunderstorms,preparing for war,running a fast-food business,solving crimes,convicting criminals,duelling acrobatically,getting a nose job
Bill,Russell,86410212,CS,inventing electrical marvels,performing household chores,flirting with rednecks,eluding the FBI,ranting about liberals	doing stand-up,promoting world peace,working out,hiding from the public,ruling over subjects
Danny,Bonaduce,21827758,CS,making political gaffes,entertaining teenagers,writing modern fiction,promoting world peace,doing stand-up,flirting with rednecks,performing household chores,writing comedy,working out,building airplanes
Sandy,Koufax,26615632,DS,getting a nose job,preparing for war,running a kingdom,duelling acrobatically,solving crimes,convicting criminals,running a fast-food business,guarding the galaxy,solving crimes,foiling the schemes of evil villains
Mickey,Rooney,38974997,DS,guarding the galaxy,starting thunderstorms,getting a nose job,running a kingdom,convicting criminals,foiling the schemes of evil villains,preparing for war,executing morally appalling plans,solving crimes,running a fast-food business
Ann,Landers,53341125,CS,promoting world peace,flirting with rednecks,doing stand-up,performing household chores,working out,building airplanes,hiding from the public,inventing electrical marvels,exploring the new world,cooking dinners
Larry,Hagman,95502746,DS,getting a nose job,running a fast-food business,running a kingdom,solving crimes,solving crimes,guarding the galaxy,preparing for war,executing morally appalling plans,foiling the schemes of evil villains,convicting criminals
Antonio,Vivaldi,83650098,CS,doing stand-up,working out,exploring the new world,cooking dinners,writing modern fiction,making political gaffes,coining sparkling witticisms,promoting world peace,flirting with rednecks,ranting about liberals
Jean,Chrétien,49001339,CS,inventing electrical marvels,hiding from the public,exploring the new world,ruling over subjects,flirting with rednecks,cooking dinners,entertaining teenagers,working out,writing modern fiction,doing stand-up
Ozzie,Ozbourne,21290423,DS,running a fast-food business,getting a nose job,running a kingdom,executing morally appalling plans,duelling acrobatically,foiling the schemes of evil villains,solving crimes,starting thunderstorms,preparing for war,solving crimes
