First Name,Last Name,ID,Stream,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10
Cris,Collinsworth,12777829,CS,performing stand-up,singing rock songs,testing new technologies,searching for a new world,pioneering new technologies,wallowing in mud,fighting with swords,smoking herb,leaking state secrets,starring in Hollywood movies
Maurice,Sendak,78443432,CS,starring in romantic comedies,testing new technologies,winning golf tournaments,smoking herb,making idealistic movies,starring in Hollywood movies,writing pop songs,posing for photographs,fighting with swords,partying on yachts
Steven,Segal,60023648,CS,making insipid musicals,writing about manly pursuits,pedalling furiously,promoting conservative values,developing military strategies,writing rap songs,shocking radio listeners,dressing up in cosplay costumes,searching for a new world,Research Activity
Charlie,Daniels,53299413,CS,womanizing,judging legal cases,pioneering new technologies,writing about manly pursuits,starring in Hollywood movies,promoting Buddhism,Research Activity,teaching philosophy to future leaders,singing pop songs,promoting conservative values
Tay,Zonday,96761113,CS,judging legal cases,winning golf tournaments,testing new technologies,shocking radio listeners,singing rock songs,writing science fiction,writing pop songs,raising cain,running for the senate,trading in wives
Herb,Alpert,19065659,CS,teaching philosophy to future leaders,singing pop songs,dating supermodels,singing rock songs,leaking state secrets,performing stand-up,searching for the messiah,starring in Hollywood movies,starring in Hollywood movies,searching for a new world
Dave,Evans,87208050,CS,telling affable jokes,singing rock songs,writing rap songs,pedalling furiously,searching for a new world,starring in romantic comedies,promoting conservative values,winning golf tournaments,Research Activity,singing rock songs
John,Entwistle,29813874,DS,communicating with animals,engaging in bare-knuckle fighting,making strategic decisions,making topiary sculptures,brewing magican potions,fighting the resistance,offering legal advice,swinging on a perch,running a criminal enterprise,slashing victims
Earl,Hines,24632303,CS,writing pop songs,writing rap songs,singing rock songs,making insipid musicals,judging legal cases,promoting Buddhism,fighting with swords,smoking herb,writing Russian novels,teaching philosophy to future leaders
Lee,Strasberg,11427092,CS,shocking radio listeners,smoking herb,starring in romantic comedies,raising cain,writing science fiction,collecting rock samples,teaching philosophy to future leaders,leaking state secrets,posing for photographs,testing new technologies
Martin,Sheen,45384624,CS,starring in Hollywood movies,promoting Buddhism,posing for photographs,writing about manly pursuits,writing pop songs,dressing up in cosplay costumes,judging legal cases,starring in Hollywood movies,building a search engine,running a business empire
Erma,Bombeck,67919952,DS,foiling the schemes of evil villains,going senile,fussing about cleanliness,slashing victims,grabbing power,engaging in bare-knuckle fighting,studying magic tricks,commanding a spaceship,casting magic spells,complaining about big brother
Andrea,Bocelli,70055968,CS,searching for a new world,collecting rock samples,writing pop songs,starring in romantic comedies,Research Activity,leaking state secrets,promoting conservative values,promoting Buddhism,starring in Hollywood movies,building a search engine
Earl,Simmons,91271392,CS,smoking herb,amassing weapons,making maverick choices,judging legal cases,telling affable jokes,developing military strategies,singing rock songs,Research Activity,promoting conservative values,winning golf tournaments
Ray,Milland,70913860,CS,writing modern fiction,starring in romantic comedies,climbing social ladders,posing for photographs,writing pop songs,promoting conservative values,judging legal cases,building a search engine,pedalling furiously,pioneering new technologies
Eric,Clapton,62469031,CS,writing science fiction,partying on yachts,starring in Hollywood movies,running for the senate,starring in romantic comedies,raising cain,singing rock songs,making maverick choices,trading in wives,performing stand-up
Loni,Anderson,50416100,CS,dressing up in cosplay costumes,developing military strategies,judging legal cases,writing pop songs,making idealistic movies,starring in Hollywood movies,singing pop songs,searching for a new world,running for the senate,promoting conservative values
Bat,Man,97237061,DS,engaging in bare-knuckle fighting,singing pop songs,commanding a spaceship,complaining about big brother,being condescending to customers,pulling capers,running a crime family,selling comic books,making topiary sculptures,fighting the resistance
Tom,Fogerty,70540481,CS,teaching philosophy to future leaders,amassing weapons,smoking herb,Research Activity,writing pop songs,making maverick choices,singing rock songs,performing stand-up,searching for a new world,collecting rock samples
Hetty,Green,64322097,CS,developing military strategies,running a large metropolitan city,writing modern fiction,starring in romantic comedies,leaking state secrets,raising cain,teaching philosophy to future leaders,starring in Hollywood movies,winning golf tournaments,pioneering new technologies
Benjamin,Spock,15722606,DS,slashing victims,running a business empire,making topiary sculptures,developing cunning plans,selling comic books,developing new technologies,running a criminal enterprise,grabbing power,foiling the schemes of evil villains,throwing lavish parties
Richard,Jaeckel,98459819,CS,running a large metropolitan city,judging legal cases,posing for photographs,teaching philosophy to future leaders,singing rock songs,dating supermodels,starring in Hollywood movies,collecting rock samples,searching for a new world,smoking herb
Billy,Barty,26389583,DS,solving crimes,running a criminal enterprise,making strategic decisions,making topiary sculptures,building rocket ships,running a business empire,developing cunning plans,offering legal advice,running a crime family,pulling capers
Carmen,Electra,24299661,CS,singing rock songs,writing pop songs,making insipid musicals,chasing old women,writing rap songs,judging legal cases,starring in sit-coms,building a search engine,wallowing in mud,pioneering new technologies
Nell,Carter,36668946,DS,swinging on a perch,nurturing sibling rivalry,making silly decisions,singing pop songs,casting magic spells,developing cunning plans,commanding a spaceship,engaging in bare-knuckle fighting,foiling the schemes of evil villains,grabbing power
Maria,Sharapova,95337989,CS,starring in Hollywood movies,judging legal cases,making insipid musicals,promoting Buddhism,developing military strategies,making maverick choices,teaching philosophy to future leaders,smoking herb,posing for photographs,singing pop songs
Redi,Tlhabi,17703355,CS,raising cain,dating supermodels,fighting with swords,climbing social ladders,starring in Hollywood movies,pioneering new technologies,dressing up in cosplay costumes,running a large metropolitan city,telling affable jokes,writing about manly pursuits
Barbara,Bach,66360360,CS,singing rock songs,leaking state secrets,posing for photographs,running for the senate,teaching philosophy to future leaders,smoking herb,singing pop songs,pedalling furiously,dressing up in cosplay costumes,making idealistic movies
